"elite_idx","centroid_x","centroid_y","situation_x","situation_y","situation_vec","command","fitness","kind","iteration"
"1074","0.007857904121303494","0.258263357865377","0.000388415522577068","0.2666907639832483","0.000388415522577068,0.2666907639832483","0.496954394220288,0.5186764614270399","1","regression","998988"
"2936","0.006026082677356603","0.09254181409593853","0.0005268019090751697","0.09375288843127283","0.0005268019090751697,0.09375288843127283","0.501694084482805,0.5261156854179779","1","regression","993076"
"4259","0.0035495338250496333","0.2396257793805487","0.0005864867159908194","0.23515539896793503","0.0005864867159908194,0.23515539896793503","0.49441960927940387,0.5192577163714331","1","regression","984448"
"4316","0.005972379404315498","0.18454268411558694","0.001062822732062263","0.1781568249162715","0.001062822732062263,0.1781568249162715","0.4864485549237783,0.5133748435626888","1","regression","999904"
"4219","0.003186473950505919","0.3148173990275468","0.0012205706676891026","0.3140219213969565","0.0012205706676891026,0.3140219213969565","0.49258773999684685,0.5197746593292776","1","sbx_closest2parent","994614"
"884","0.0027017932386673715","0.35820127833100857","0.0013053519443975148","0.36560262347569517","0.0013053519443975148,0.36560262347569517","0.4890372042171819,0.5173010558274477","1","regression","996039"
"2129","0.004846618891135024","0.7967745747942694","0.0015806942712186522","0.7937375829114686","0.0015806942712186522,0.7937375829114686","0.5106153390500536,0.5227413389122305","1","sbx_closest2parent","999008"
"1859","0.0032156860019524336","0.15258253284375717","0.0016077327509732564","0.14628882120359532","0.0016077327509732564,0.14628882120359532","0.48879851089873816,0.5159572361122738","1","regression","992825"
"178","0.006395061399561253","0.6046193390237283","0.001929365645995218","0.596772744044127","0.001929365645995218,0.596772744044127","0.484329449223379,0.5156496564740203","1","regression","996682"
"1462","0.004274820999743245","0.6266315943964509","0.002261669112814113","0.6203689829248753","0.002261669112814113,0.6203689829248753","0.48820046076577533,0.5177166090413376","1","sbx_closest2parent","982141"
"133","0.0028676619367321576","0.5079631190943984","0.0026274916495750977","0.5120483774720107","0.0026274916495750977,0.5120483774720107","0.4836607457820438,0.5246699033763176","1","sbx_closest2parent","968151"
"1554","0.006668424430275932","0.9721137801086313","0.0028012827246055583","0.9653056878543262","0.0028012827246055583,0.9653056878543262","0.499099864070578,0.5147284520361206","1","regression","997034"
"1840","0.008939575472561467","0.375513414411414","0.0028275478897903383","0.3796909968924582","0.0028275478897903383,0.3796909968924582","0.4960048590542289,0.5173879709826034","1","regression","997446"
"4886","0.007687143350028791","0.5593889405623964","0.0028294252564515787","0.5685923515222638","0.0028294252564515787,0.5685923515222638","0.5116495537322436,0.5297285744776318","1","sbx_closest2parent","998249"
"1874","0.0048092360206437035","0.6399147268434051","0.002927869508476677","0.6381133407025903","0.002927869508476677,0.6381133407025903","0.4977212645441491,0.5207123540187806","1","regression","985401"
"1756","0.008878904391029785","0.10390035907838158","0.0029771286063855484","0.10410646045636796","0.0029771286063855484,0.10410646045636796","0.4843271500995334,0.5169760741948093","1","regression","974119"
"2943","0.004248960909892352","0.45250136680279557","0.0030899163418725006","0.4532303957738849","0.0030899163418725006,0.4532303957738849","0.5114170981211447,0.5240027975950254","1","regression","999786"
"2150","0.007848974940099951","0.8498780834659823","0.00314022195654573","0.8427304596904722","0.00314022195654573,0.8427304596904722","0.501064741263724,0.5204730929296789","1","regression","998547"
"3589","0.00246926633409128","0.8165318775309607","0.003420620309651068","0.8087691881051188","0.003420620309651068,0.8087691881051188","0.5071436845671067,0.5233400051345101","1","regression","993277"
"2841","0.005627240192194183","0.33496098715240147","0.0034209191367654546","0.333712083267401","0.0034209191367654546,0.333712083267401","0.487687901464713,0.5161230218255887","1","regression","994111"
"1076","0.00859670096487719","0.7099468804788984","0.0036899870740020324","0.7120935923756592","0.0036899870740020324,0.7120935923756592","0.5054631982193215,0.5218142189012317","1","regression","971462"
"1625","0.0066009967902540545","0.11956172491397221","0.003701044121741326","0.11863654084218278","0.003701044121741326,0.11863654084218278","0.47973179055141957,0.5144718398947131","1","sbx_closest2parent","998739"
"3644","0.005675743740303663","0.663208172312165","0.0038342539525976216","0.6533752523506554","0.0038342539525976216,0.6533752523506554","0.5075537013742851,0.5209439465082184","1","sbx_closest2parent","997340"
"193","0.006199143227153203","0.7502908814798078","0.003866935282992312","0.7476030440303173","0.003866935282992312,0.7476030440303173","0.49864818474371414,0.5201964624431489","1","regression","994435"
"1653","0.001047720441634814","0.9065872298145171","0.003894381598704033","0.9015524981739258","0.003894381598704033,0.9015524981739258","0.49581256978822624,0.5183282708801938","1","regression","989683"
"3853","0.004342931209365297","0.28560566505257995","0.004884596444607481","0.28371935855084407","0.004884596444607481,0.28371935855084407","0.4855390306386212,0.5122474316881915","1","regression","999152"
"4766","0.004076066388200461","0.49536039860797154","0.00502921203684481","0.4942821038729259","0.00502921203684481,0.4942821038729259","0.5043412597708538,0.5227727317676617","1","sbx_closest2parent","999203"
"2599","0.007677828990284241","0.7341307365232901","0.005164817068377459","0.7406683499973831","0.005164817068377459,0.7406683499973831","0.5048684560869542,0.5217454095191676","1","regression","999843"
"3358","0.00653702089741337","0.07554718460376941","0.005970383580469196","0.07781602002237309","0.005970383580469196,0.07781602002237309","0.4888785292115402,0.521846410790848","1","regression","992313"
"3516","0.008511003394600647","0.04751389318596638","0.005982610912398489","0.050832981956971945","0.005982610912398489,0.050832981956971945","0.48483378263102683,0.5197546934663031","1","regression","997005"
"3367","0.002545560632878807","0.6942770011861276","0.006031912922981553","0.6913775971768059","0.006031912922981553,0.6913775971768059","0.5009142657000135,0.522100510826505","1","regression","991708"
"3893","0.006373553557175726","0.9311373364900083","0.0060456513770074105","0.9333029485766042","0.0060456513770074105,0.9333029485766042","0.4969347638659434,0.5171623923246595","1","regression","993678"
"1006","0.010810891545056156","0.4686737646467873","0.006565972697034406","0.4621407019285295","0.006565972697034406,0.4621407019285295","0.4951981510408223,0.5214693891114042","1","regression","999142"
"4077","0.01325071016165108","0.5165859342461102","0.006688315984239135","0.514240979838379","0.006688315984239135,0.514240979838379","0.484578401315739,0.5194241860167386","1","regression","993502"
"4086","0.011666185107683191","0.36328507180091263","0.006834434701764591","0.3620337823037775","0.006834434701764591,0.3620337823037775","0.5058840879935691,0.5265657581335634","1","regression","995804"
"37","0.003285210176762865","0.8862031274190103","0.006915150524341551","0.890475431577584","0.006915150524341551,0.890475431577584","0.501650518682001,0.5217630032202821","1","regression","980993"
"4451","0.003153288023143741","0.4063297528693878","0.007189248743756482","0.4074131904319592","0.007189248743756482,0.4074131904319592","0.5015524875345947,0.5144189138847408","1","sbx_closest2parent","979031"
"2852","0.003270720126615556","0.524616911096633","0.007353700573855315","0.5211346076310835","0.007353700573855315,0.5211346076310835","0.5105490718247078,0.5292517348283564","1","regression","997366"
"3802","0.00782744025170068","0.47767781783274554","0.007434373315795106","0.47929382113445873","0.007434373315795106,0.47929382113445873","0.5052789797942387,0.5243307058289639","1","regression","999554"
"611","0.0068630284745794246","0.9526735850099207","0.007992446816045828","0.9500045699136163","0.007992446816045828,0.9500045699136163","0.5051878969755536,0.5221747436300274","1","sbx_closest2parent","998584"
"3668","0.003974955444528416","0.5790958037335316","0.008152416903985493","0.582493046745239","0.008152416903985493,0.582493046745239","0.49929841492527677,0.5211740517171547","1","sbx_closest2parent","991327"
"2872","0.00405986872437869","0.9915725062675198","0.008171108770406943","0.998195707457106","0.008171108770406943,0.998195707457106","0.5075626723908874,0.519046508129485","1","regression","999625"
"4641","0.012980395275811518","0.8165692243607314","0.008232536531995183","0.8147682778915742","0.008232536531995183,0.8147682778915742","0.5017925494137955,0.5205139967142772","1","regression","991456"
"324","0.0060305769361891914","0.16553524616255255","0.008242521825961635","0.17097958321342965","0.008242521825961635,0.17097958321342965","0.4908829635669593,0.5198703644368518","1","sbx_closest2parent","997176"
"2636","0.003470907110510235","0.038271407682619885","0.008407071142063849","0.03400703303649921","0.008407071142063849,0.03400703303649921","0.49513717394374657,0.5211255165947359","1","regression","998760"
"844","0.008989984242141813","0.39631661708459565","0.008616097574847936","0.3939432243478166","0.008616097574847936,0.3939432243478166","0.5003801661707602,0.5194642016273041","1","regression","998045"
"3728","0.005353405730645577","0.02559309114771413","0.00912457620470164","0.02697864244697612","0.00912457620470164,0.02697864244697612","0.4982110359921115,0.5196959363165006","1","regression","999247"
"850","0.007361638362733569","0.7752594463795197","0.00928822057049472","0.7779040040504449","0.00928822057049472,0.7779040040504449","0.5053848473127742,0.5216569204211208","1","regression","997807"
"2981","0.0080787565476656","0.13740290687569973","0.009341851835590442","0.13314385678923013","0.009341851835590442,0.13314385678923013","0.49709083311432767,0.5146865090975414","1","sbx_closest2parent","997820"
"931","0.005932995072729874","0.8270538454925265","0.00970444586945507","0.8283130244117956","0.00970444586945507,0.8283130244117956","0.504702654174283,0.5217533641176496","1","regression","997109"
"1391","0.01663651367937652","0.03457434229353612","0.009808576318678708","0.034175260768846694","0.009808576318678708,0.034175260768846694","0.49088028359229186,0.5215650553436936","1","regression","989716"
"576","0.004903361811491702","0.059966386464396504","0.009818946883920043","0.06715776522379635","0.009818946883920043,0.06715776522379635","0.47593221469150154,0.5171023698751632","1","sbx_closest2parent","976939"
"3016","0.01038515424590608","0.9133539107231354","0.010034499007282816","0.9088129814093535","0.010034499007282816,0.9088129814093535","0.5014789797322524,0.5182274385852537","1","regression","988898"
"502","0.005338778410781564","0.30038707448618196","0.0100793205571591","0.2966162744948876","0.0100793205571591,0.2966162744948876","0.4982929488951359,0.5238611493551166","1","sbx_closest2parent","984805"
"4544","0.009764002506110203","0.8954425414405499","0.010210344280048744","0.8940744277340349","0.010210344280048744,0.8940744277340349","0.49367911020977,0.5182277517345082","1","sbx_closest2parent","999651"
"370","0.016867655832923933","0.24509563197550516","0.010537756933068798","0.24726609183649073","0.010537756933068798,0.24726609183649073","0.4946201589853425,0.5199842624084438","1","regression","994837"
"1085","0.015211562594601657","0.5758752481908773","0.010862553809126818","0.5754263291431851","0.010862553809126818,0.5754263291431851","0.49500749184431764,0.5167580941567878","1","sbx_closest2parent","993140"
"2333","0.01087859655174922","0.34983580946409487","0.011022839487144664","0.35430496573827297","0.011022839487144664,0.35430496573827297","0.4903576547790615,0.5189734713997014","1","sbx_closest2parent","997636"
"1261","0.00728147211649155","0.8664377548561455","0.011311566274928464","0.8590319866497758","0.011311566274928464,0.8590319866497758","0.5167853023307122,0.5292763049637095","1","sbx_closest2parent","995448"
"843","0.008869336129013916","0.3191871533791462","0.011532024755501302","0.3259058954179883","0.011532024755501302,0.3259058954179883","0.49931941192118695,0.521155238979402","1","regression","997448"
"3355","0.005941573329894034","0.5383371481177801","0.011572150786425706","0.5354218904295661","0.011572150786425706,0.5354218904295661","0.48742360036389587,0.5151431102405388","1","regression","991298"
"840","0.012357128533562911","0.9904138119250661","0.01165930583912711","0.984864482201253","0.01165930583912711,0.984864482201253","0.5028918233833776,0.5173451355210216","1","regression","998086"
"1720","0.009836096304332187","0.19837223153968608","0.011863311628202755","0.19629414555335778","0.011863311628202755,0.19629414555335778","0.4912667236052045,0.5230368927041857","1","sbx_closest2parent","994436"
