"elite_idx","centroid_x","centroid_y","situation_x","situation_y","situation_vec","command","fitness","kind","iteration"
"3531","0.8372339048624382","0.023064136078629005","0.00008558851919748811","0.8632003635403225","0.00008558851919748811,0.8632003635403225","0.9493761344490511,0.5451683983349215,0.07743615887133337,0.9461814047812457,0.44832575461755386,0.6418006899022592,0.1275827060339555,0.6423207858432449,0.47804951203543955,0.15740762848222278","0.5390328177442794","random","3531"
"78","0.005771003154218635","0.08473354263138688","0.0009007101919769056","0.09514599283001379","0.0009007101919769056,0.09514599283001379","0.9837881936771588,0.018225661866445086,0.8103707332170561,0.6468822208575317,0.28998395269661714,0.4170386121046739,0.929187642046161,0.49233302623976954,0.6724572568020782,0.9804732564930413","0.5255365489476341","sbx_closest2parent","31475"
"1444","0.0017694849271454594","0.24942648836378184","0.001381462781913978","0.2538180783103816","0.001381462781913978,0.2538180783103816","0.6768873552491446,0.993445956457387,0.896892982354301,0.9815227427078339,0.6825367978499954,0.4581394347552354,0.6717322618737864,0.870095324571303,0.5420346538455753,0.8379475415190653","0.5729214750860041","sbx_closest2parent","53135"
"3638","0.6994995902047583","0.023027449211643736","0.0014662962485093578","0.75408993354445","0.0014662962485093578,0.75408993354445","0.4296124033119627,0.776838577209661,0.9470966705757122,0.039417191650728656,0.5120753813845035,0.8771332072718071,0.13930631276847494,0.9609452791453968,0.19337298052923713,0.7337993818054172","0.5708485427342509","random","3638"
"3534","0.006275225041951271","0.010144756149449596","0.002133656585176613","0.01761328798254358","0.002133656585176613,0.01761328798254358","0.3633403807247921,0.6463224875121816,0.8941990503855353,0.07698643044613002,0.8148488029233929,0.8018584510397484,0.6352974911412699,0.709698283631383,0.7278914730344781,0.28369660529294305","0.4991964681433688","sbx_closest2parent","14522"
"3593","0.9701693669229292","0.04748880345743439","0.00245319265654792","0.6139129210099512","0.00245319265654792,0.6139129210099512","0.1252343869566206,0.08223845833727172,0.6624001618150687,0.6087282552704708,0.743381964675656,0.18082548800724807,0.20354799840649274,0.5848831579884239,0.5118850797044163,0.7081222498814906","0.5984624128773283","random","3593"
"2785","0.020177761319840393","0.7822320038235455","0.0033489078870254096","0.341035246620897","0.0033489078870254096,0.341035246620897","0.16352960372274816,0.41702896699585756,0.02714960809311473,0.9183003171278185,0.588209030990039,0.9498646644965882,0.771280816705007,0.4143776022578748,0.1746242094575441,0.33479634206849096","0.5916675344222789","random","2785"
"2181","0.07020329343509579","0.9671766860415185","0.005551173219234651","0.49097745975667334","0.005551173219234651,0.49097745975667334","0.23154353268760575,0.43087379298678086,0.038130531887159536,0.1776503380011646,0.1048431763783263,0.9587700294982926,0.4685662910427235,0.01096661679094768,0.29486602130375483,0.22572389262093273","0.6052765666760885","random","2181"
"3706","0.19736082065707394","0.13267187414182807","0.007065660524192441","0.25149993281682503","0.007065660524192441,0.25149993281682503","0.13526925623234876,0.2046323367176821,0.988663569233538,0.8307338367537863,0.6997403171987031,0.3951103217488112,0.9607555812085982,0.9680944655820336,0.10229016208317065,0.6511717397358824","0.5723361619197239","random","3706"
"3184","0.00564602598302022","0.7533892922704437","0.00738580848222159","0.7474389851758217","0.00738580848222159,0.7474389851758217","1,1,1,1,1,1,1,1,1,1","0.577348538837664","regression","75834"
"4855","0.0031152980294124055","0.5657105298413201","0.007423036400658889","0.5666495373771667","0.007423036400658889,0.5666495373771667","0.8704338214479099,0.7932070890052478,0.9965229712445526,0.7162024864241129,0.9913592569289752,0.9970596555099118,0.7914682814312631,0.6720277516372962,0.9795654383043513,0.9987992971310176","0.6070924957336258","sbx_closest2parent","32288"
"3642","0.011572447560618426","0.042448186149323386","0.007601949852497181","0.0486675968525867","0.007601949852497181,0.0486675968525867","0.6644408339529885,0.621649305989541,0.31818405304794584,0.5463912626376441,0.08798750460505378,0.49076456472701385,0.4944001328008811,0.5001265695416585,0.4272215508636056,0.35798805678950907","0.5098726374456536","regression","94750"
"2060","0.006741841774420276","0.2679679035879099","0.00765454936065979","0.27342096237519176","0.00765454936065979,0.27342096237519176","0.6118201135909624,0.7118768896893681,0.6896444224346961,0.7285143877384106,0.45398088583714535,0.5853909191561913,0.7603794988559722,0.7771370480589981,0.5330103142148204,0.49092086853888256","0.5781285129022744","regression","37888"
"2099","0.006275159102280381","0.7235632386848102","0.00788164016360704","0.7200290874556318","0.00788164016360704,0.7200290874556318","0.985654466182842,0.9972998525494348,0.9987582176744177,0.9876818857507715,0.999519861134398,0.9855210328837808,0.979359664643212,0.9987291847659755,0.9958916038550018,0.9947545571147456","0.5842532538894075","sbx_closest2parent","40421"
"2464","0.005590705612225244","0.4247860540722085","0.008086205798527146","0.4333195435291436","0.008086205798527146,0.4333195435291436","1,1,1,1,1,1,1,1,1,0.9969999948875138","0.6074810190516405","regression","64806"
"2496","0.006411467255466929","0.4807332235054944","0.008490411850192614","0.4786734829707625","0.008490411850192614,0.4786734829707625","0.9707936840444321,0.9535859506429892,0.9982561010287817,0.999966116740388,0.9999845036327433,0.9947424855757643,0.9953444593773656,0.9999485256166384,0.8430009087898553,0.5534235853843039","0.6102833698849125","sbx_closest2parent","29551"
"4048","0.004906813208152283","0.6655568892778758","0.00850301808087539","0.6658329005114424","0.00850301808087539,0.6658329005114424","0.9945031053083406,0.9976365831480261,1,0.9923858679284918,1,1,0.9786628497576307,0.9929562358455372,1,1","0.595973802644402","regression","53865"
"465","0.07385871736961575","0.07547551160082006","0.008578140925386113","0.8347263788883696","0.008578140925386113,0.8347263788883696","0.6770837357875538,0.8360620590252059,0.582760992496558,0.5306115547736838,0.31616410342006884,0.5682165670475016,0.056629278318504395,0.7834612958271501,0.547236959257874,0.5700117337719338","0.5487311716789182","random","465"
"2428","0.0640214662980011","0.21943022737489698","0.008990018949414869","0.3831955824725356","0.008990018949414869,0.3831955824725356","0.5070481124417872,0.6423765235463792,0.609201440442586,0.9098613384239658,0.911133585813746,0.2679904957009839,0.812881759273036,0.47816695499377615,0.48292086270285606,0.2727212906644386","0.599344300305543","random","2428"
"2687","0.004919604174409509","0.46166639242368807","0.010088052717115659","0.4624251485210732","0.010088052717115659,0.4624251485210732","1,1,1,1,0.9956505223819343,1,1,1,1,1","0.6105545748375053","regression","28482"
"1622","0.005373785505013773","0.7853525695768628","0.010181814667175826","0.7827882870369596","0.010181814667175826,0.7827882870369596","1,1,1,1,1,1,1,0.9698834501478583,1,1","0.5698132681874198","regression","84039"
"4110","0.008984921867614848","0.3957928162810021","0.01020269069539903","0.40097313165832427","0.01020269069539903,0.40097313165832427","0.9978285663985269,0.995033727819901,0.993327659569712,0.9964891352809562,0.9972671343213908,0.9999458879275561,0.9998880587048505,0.9992639128834665,0.9999662814657878,0.9954676951148371","0.6048115792613524","sbx_closest2parent","78769"
"3469","0.0062434876387978955","0.6418869146181281","0.010269268562986156","0.6462571066106062","0.010269268562986156,0.6462571066106062","1,1,1,1,1,1,1,1,1,1","0.6005434772284116","regression","90984"
"1965","0.004575948707671973","0.3359541206757521","0.010712080647944933","0.336432233531885","0.010712080647944933,0.336432233531885","1,1,1,1,0.9868621444027937,1,1,1,0.9710323361453032,1","0.5943942281151955","regression","93801"
"3413","0.013261270646205359","0.09217559008274134","0.01114314150452178","0.10096290535918506","0.01114314150452178,0.10096290535918506","0.5225252374648962,0.18093206935111536,0.46358773581679585,0.6884202952194796,0.25323052351783315,0.3869318405497788,0.6056197419737397,0.5546197032932842,0.4519668992603758,0.28435323726100686","0.5273457452620346","regression","46385"
"1021","0.2612733963734186","0.0660018820528438","0.011328655073426452","0.2028454275221761","0.011328655073426452,0.2028454275221761","0.47851350537992354,0.03487324088257682,0.1265630170789831,0.005657242821218489,0.40002103179559756,0.5777172853359127,0.9417765735695096,0.35926894315976987,0.6828906325717342,0.015797216321638774","0.5582991401646433","random","1021"
"400","0.007171166208781721","0.9205812139427403","0.011358840930861147","0.9206981103622222","0.011358840930861147,0.9206981103622222","0.8976596429873073,0.8129917106580613,0.9342695151851912,0.7367994955921657,0.7677177131974813,0.5523155410628626,0.7435671188405993,0.4618545354819896,0.7022895023543106,0.7585571879968109","0.5242781387692098","sbx_closest2parent","61243"
"1973","0.010251761290101191","0.3822671838963406","0.011535883355233922","0.3889072851651857","0.011535883355233922,0.3889072851651857","1,1,1,1,1,1,1,0.962593044280793,0.8432364599919225,0.9374470111682186","0.6036358999890512","regression","61661"
"122","0.2788535693595063","0.03883780833088252","0.012267494968082104","0.7968709824288468","0.012267494968082104,0.7968709824288468","0.11729010761582237,0.9927093175995768,0.5962126119059251,0.4278672773709813,0.6321777181694224,0.7130503310857412,0.4715462877169124,0.06885387130695375,0.5631141653776306,0.10486011623462321","0.559375758034578","random","122"
"1543","0.007378118486513596","0.8681925289344773","0.01229316165200478","0.8648024329641462","0.01229316165200478,0.8648024329641462","0.9996891005371631,0.8134050098746312,0.8265696852078876,0.8818465516334075,0.9930526884070179,0.9887095097900085,0.8553652004207952,0.9627207625162959,0.8195118620747239,0.9639173848960529","0.545090079124304","sbx_closest2parent","38311"
"1004","0.0035413582737755522","0.5284112026248302","0.012495121400261433","0.5290069293463474","0.012495121400261433,0.5290069293463474","1,1,1,1,1,1,1,1,1,1","0.6129748449810396","regression","78321"
"1781","0.9321129680487632","0.04833430025994834","0.012504749642238244","0.6069617018739271","0.012504749642238244,0.6069617018739271","0.23107283493390907,0.29162858002031933,0.21408232882580103,0.05872207646653271,0.5088976872314709,0.22690977295156278,0.6719815477517919,0.9743541235182951,0.7941336883716523,0.9709081733111254","0.5974531640455231","random","1781"
"1197","0.005934929488727869","0.8385528610192601","0.012575683174370189","0.8306026632064536","0.012575683174370189,0.8306026632064536","0.9534443494025057,0.9195361297895887,0.9208508448171171,0.9589949515438402,0.93499685863448,0.9522320940039627,0.9379851925566517,0.834928016325604,0.95759650741046,0.9914535122475264","0.5563951848007068","regression","41571"
"3452","0.004207411205904732","0.7714054989604171","0.012696735745581167","0.7741878004660889","0.012696735745581167,0.7741878004660889","1,1,1,1,0.9105061169263517,1,1,0.9569247662454159,1,1","0.5736926019638638","regression","26441"
"1242","0.014256038215636813","0.2859679551573443","0.012880025768978398","0.29282239822437284","0.012880025768978398,0.29282239822437284","0.973528358057741,0.9986645725958023,1,1,0.8927845586573477,1,0.8931993972472392,0.9903769278525785,1,0.9673627282315878","0.5853478016748659","regression","60854"
"4026","0.009448400075912411","0.2552679038843291","0.01292790987214587","0.26030210331930137","0.01292790987214587,0.26030210331930137","1,1,1,1,0.9537753042457208,1,1,1,1,1","0.5773320609777497","regression","77903"
"688","0.00853811817065453","0.44510376904438176","0.013531074021329359","0.45132884673322593","0.013531074021329359,0.45132884673322593","1,1,1,1,1,1,1,1,1,1","0.6114762152058628","regression","82787"
"4765","0.8805884325546166","0.08205461651979279","0.013640326522090684","0.17139125687837292","0.013640326522090684,0.17139125687837292","0.9109890599015443,0.2526919696155512,0.5611043610067893,0.5863954175141844,0.5159744664190359,0.3221701176705094,0.4715601930514848,0.886386517792018,0.7824581767661808,0.9669587714106489","0.5500228900335343","random","4765"
"2225","0.00619996080485502","0.5139130287943132","0.013960900073568538","0.517681019230244","0.013960900073568538,0.517681019230244","0.9651761653789611,1,0.9356314245277348,0.9984458078486252,0.9282206893013744,0.9993128780998285,0.9100727866912839,0.9057727912230145,0.9001954145151825,0.985119402279579","0.6133552069035154","regression","78820"
"2232","0.03226878235392605","0.1596600873462845","0.014019282966516056","0.7836990772695497","0.014019282966516056,0.7836990772695497","0.23591942540632782,0.33166081908600764,0.31693977146042407,0.3970731423377265,0.4292151279190076,0.6278447251090139,0.7776417681895038,0.3639808207409706,0.888899762486993,0.24859014728410134","0.5611219127786252","random","2232"
