"elite_idx","centroid_x","centroid_y","situation_x","situation_y","situation_vec","command","fitness","kind","iteration"
"223","0.005546297230325903","0.36999405562520027","0.0012395247401978393","0.3868571655411346","0.0012395247401978393,0.3868571655411346","0.2035037777602624,0.16593365741803773,0.23682700247267097,0.9309187955265198,0.7091683834988174,0.2177826770557399,0.14197043375216464,0.29723162429901373,0.9188413314290508,0.8135380999668997,0.3829713284073941,0.2170704189257396,0.3126511421181802,0.27502282653160004,0.654391632916478,0.7025846713969095","1000","regression","997289"
"514","0.011492058345718259","0.18636990588467928","0.001517065290111086","0.1784689939725067","0.001517065290111086,0.1784689939725067","0.18214706699490596,0.11837923190609319,0.22906859575473087,0.8624609105365659,0.588906991404831,0.17927253117839345,0.1009320285528901,0.28354537665924334,0.7351292736597016,0.2555686920405573,0.34935552240660894,0.10204947930698806,0.23561040062505123,0.26310701149929183,0.5579870719339102,0.5322730927983599","1000","sbx_closest2parent","999240"
"115","0.012481809454109705","0.7246816078576138","0.002150299884109863","0.7242170302106666","0.002150299884109863,0.7242170302106666","0.1610766049772789,0.1326497269391841,0.20716333289033056,0.772592159275696,0.47938782950576303,0.18870266014098236,0.09947344347443283,0.2611820373458249,0.7443144663099954,0.5523527189259875,0.34787116036544796,0.11807293377567653,0.2313573410882817,0.2488820582416948,0.5670659189429793,0.5173443550217969","1000","regression","999601"
"1105","0.004004515721804713","0.6191365082770219","0.0051082792624354","0.6333677243878422","0.0051082792624354,0.6333677243878422","0.17724008529234833,0.1573277395069785,0.21986995647806382,0.8516326659090838,0.5414985013300155,0.20958157936497723,0.10858270896015675,0.2710628643839918,0.8323003627240881,0.5938703118664013,0.3601585071603934,0.16696956288395048,0.24597798050649772,0.26118670514948367,0.6126509616313475,0.6063716606862275","1000","regression","997503"
"347","0.010682192114216116","0.8303794738264686","0.005139605343409737","0.8442576804810263","0.005139605343409737,0.8442576804810263","0.1659886344371737,0.15230428956449477,0.21409791249087787,0.7916510997807502,0.5162118718280272,0.20248643709932543,0.0974862133398384,0.2644834170493081,0.736305598548994,0.6064797178877256,0.34903185189853686,0.13586229356957358,0.23575194464224444,0.2575734267871981,0.5872422709275158,0.5658989399948896","1000","regression","999639"
"423","0.015412066008450798","0.13195932927302423","0.005452458702708052","0.1268103638190361","0.005452458702708052,0.1268103638190361","0.12206063954950638,0.10733401990238162,0.19744547525159525,0.7268667778128682,0.05334268112500001,0.1735459419705042,0.09520387871645587,0.24205394943515987,0.6969972945394509,0.14969321672702574,0.3481429253372569,0.10108868326701466,0.19612214338446432,0.2387397097538712,0.5492682885958688,0.5035566539481915","1000","regression","997842"
"709","0.007625393027532679","0.7596540347331678","0.005897046356222457","0.7568124628646354","0.005897046356222457,0.7568124628646354","0.15731312452263221,0.13781333481117639,0.20764469223620768,0.7796516505140726,0.43893481109798443,0.19380254410770756,0.09947742104292528,0.2628634760557032,0.725743993065743,0.5216961175134972,0.3494174328311073,0.12102987091168647,0.232249953815837,0.25095038877754144,0.5828465205168953,0.5625531562281486","1000","regression","998864"
"271","0.005599835739102721","0.030361981193889664","0.007487408606157375","0.03568162711694989","0.007487408606157375,0.03568162711694989","0.1250299941779047,0.10731392966167994,0.19243650416948624,0.7221738213240065,0,0.18452649766251036,0.10598113826052075,0.23823813837808044,0.6898537070142615,0.16042620497154333,0.3489036042845673,0.11624244834131942,0.2095216893586444,0.24304601890520952,0.5458428011131743,0.5137751780556677","1000","regression","996939"
"983","0.007170398725598881","0.09513938451746345","0.008146614050871026","0.08135371706384575","0.008146614050871026,0.08135371706384575","0.14753646161769052,0.11866456246812596,0.18904363412436934,0.6201737686237606,0.049796338838553306,0.16625315258356355,0.09868435264810073,0.24966748548729467,0.6920517445783823,0.19573604428454439,0.35239738490767214,0.12286960030508268,0.2128000502083662,0.24371425790028917,0.5310356797990484,0.5134018428747675","1000","sbx_closest2parent","998850"
"547","0.009426350687655072","0.8871867835440606","0.008253845597545051","0.8866394535931826","0.008253845597545051,0.8866394535931826","0.1675635365064196,0.16068909621195743,0.2177693470388984,0.7791283222159421,0.5876257685221125,0.21098953568744006,0.09457418472365685,0.26576320121669145,0.7232498668075209,0.6777679785319708,0.3452500276116103,0.15145949572003697,0.24434076967669083,0.2610977945930962,0.5886502756752657,0.5648633778408861","1000","regression","995044"
